@Battle
56/14-22;99/86,Battle
86/49,Gale Axe
106/41,Mistral Axe
141/54,Onslaught
206/108,Primal Rend
86/47,Raging Axe
86/52,Rampage
269/123,Ruinator
86/48,Smash Axe
86/51,Spinning Axe

@Katana
106/59,Blade: Chi
106/60,Blade: Ei
257/38,Blade: Hi
106/61,Blade: Jin
209/35,Blade: Kamu
106/63,Blade: Ku
141/61,Blade: Metsu
106/56,Blade: Retsu
106/55,Blade: Rin
271/15,Blade: Shun
106/57,Blade: Teki
106/62,Blade: Ten
106/58,Blade: To
243/65,Blade: Yu

@G. Sword
86/81,Crescent Moon
86/79,Freezebite
86/78,Frostbite
106/50,Ground Strike
86/76,Hard Slash
243/64,Herculean Slash
86/77,Power Slash
270/37,Resolution
141/58,Scourge
86/80,Shockwave
86/82,Sickle Moon
106/49,Spinning Slash
255/124,Torcleaver

@Staff
245/9,Cataclysm
86/92,Earth Crusher
86/96,Full Swing
209/33,Garland of Bliss
141/60,Gate of Tartarus
86/90,Heavy Swing
258/9,Myrkr
209/34,Omniscience
106/54,Retribution
86/91,Rock Crusher
270/38,Shattersoul
86/95,Shell Crusher
106/53,Spirit Taker
86/93,Starburst
86/94,Sunburst
240/37,Tartarus Torpor
209/32,Vidohunir

@G. Axe
86/72,Armor Break
243/63,Fell Cleave
106/47,Full Break
86/70,Iron Tempest
86/73,Keen Edge
209/30,King's Justice
141/57,Metatron Torment
86/75,Raging Rush
86/69,Shield Break
106/48,Steel Cyclone
86/71,Sturmwind
258/8,Ukko's Fury
272/63,Upheaval
86/74,Weapon Break

@G. Katana
141/62,Tachi Kaiten
245/7,Tachi: Ageha
106/64,Tachi: Enpi
255/125,Tachi: Fudo
106/71,Tachi: Gekko
106/66,Tachi: Goten
106/65,Tachi: Hobaku
106/68,Tachi: Jinpu
106/67,Tachi: Kagero
106/72,Tachi: Kasha
106/69,Tachi: Koki
209/36,Tachi: Rana
269/8,Tachi: Shoha
106/70,Tachi: Yukikaze

@Scythe
141/55,Catastrophe
106/43,Cross Reaper
86/55,Dark Harvest
269/6,Entropy
86/60,Guillotine
243/61,Infernal Scythe
209/29,Insurgency
86/57,Nightmare Scythe
257/36,Quietus
86/56,Shadow of Death
86/54,Slice
86/58,Spinning Scythe
106/44,Spiral Hell
86/59,Vorpal Scythe

@Polearm
257/37,Camlann's Torment
86/83,Double Thrust
209/31,Drakesbane
141/59,Geirskogul
106/52,Impulse Drive
86/86,Leg Sweep
86/87,Penta Thrust
86/85,Raiden Thrust
86/89,Skewer
245/6,Sonic Thrust
269/7,Stardiver
86/84,Thunder Thrust
86/88,Vorpal Thrust
106/51,Wheeling Thrust

@Archery
269/124,Apex Arrow
106/89,Arching Arrow
106/88,Blast Arrow
76/115,Dulling Arrow
86/102,Eagle Eye Shot
106/90,Empyreal Arrow
76/113,Flaming Arrow
257/39,Jishnu's Radiance
141/63,Namas Arrow
76/114,Piercing Arrow
245/37,Refulgent Arrow
86/104,Shadowbind
76/117,Sidewinder
76/116,Unknown WS

@Marksmanship
106/91,Blast Shot
141/64,Coronach
106/93,Detonator
86/103,Eagle Eye Shot
106/92,Heavy Shot
76/118,Hot Shot
271/16,Last Stand
209/38,Leaden Salute
243/66,Numbing Shot
86/105,Shadowbind
76/122,Slug Shot
76/120,Sniper Shot
76/119,Split Shot
209/37,Trueflight
76/121,Unknown WS
257/40,Wildfire

@Mannequin
143/39,Mannequin
154/24-25,Mannequin

@Others
7/0/61,btl_
71/105,def_
147/32-35;86-90,dmt_
86/22,dumm
2/0/91,mot_
2/20/36,mot_
3/8/68,mot_
3/9/113-118,mot_
5/9/1;19,mot_
6/0/69,mot_
69/123-124,mot_
71/45-62;85-94,mot_
72/75;85;95;105;115;117-126,mot_
73/7,mot_
100/17,mot_
155/104-106,mot_
163/86-89,mot_
166/109,mot_
168/109-112,mot_
170/73,mot_
175/62-64;75-78,mot_
185/11-14,mot_
186/52-55;73,mot_
187/35-39,mot_
188/27-28;43;90-91;107-108,mot_
196/33,mot_
202/30-31,mot_
212/95-104,mot_
215/48-51,mot_
221/65-74;89-94,mot_

@NPC WS
199/109,Bloody Quarrel
7/0/63,Dancing Edge
7/0/64,King Cobra Clamp
204/39,Leonine Legflail
204/40,Soulfetter Arrow
204/38,Unknown WS
217/16,Unknown WS
7/0/62,Wasp Sting

@Dancer
194/53,Aspir Samba
194/54,Aspir Samba II
194/63,Chocobo Jig
194/56,Curing Waltz
194/57,Curing Waltz II
194/58,Curing Waltz III
194/59,Curing Waltz IV
261/127,Curing Waltz V
194/61,Divine Waltz
246/120,Divine Waltz II
194/50,Drain Samba
194/51,Drain Samba II
194/52,Drain Samba III
194/73-81,Flourishes
194/55,Haste Samba
194/60,Healing Waltz
268/42,New samba?
194/62,Spectral Jig
194/64-72,Steps

@Unknown
299/26-35, Runefencer animation type 1
299/36-45, Runefencer animation type 2
299/46-55, Runefencer animation type 3
299/21-25, Wards?
